id_transacao,data,area,canal,regiao,cliente,responsavel,receita_bruta,desconto,custo,receita_liquida,margem_bruta,margem_percentual,mes
TX-1023,2025-07-01,Operacoes,Direto,Sudeste,Foco Energia,Elisa,17221.78,341.29,12084.6,16880.489999999998,4795.889999999998,0.28410845893691467,2025-07
TX-1013,2025-07-01,Comercial,Digital,Nordeste,Horizonte Tech,Ana,16455.81,696.6,9010.09,15759.210000000001,6749.120000000001,0.4282651224268222,2025-07
TX-1027,2025-07-02,Tecnologia,Digital,Centro-Oeste,Beta Logistica,Felipe,14393.84,1042.36,7750.84,13351.48,5600.639999999999,0.4194770916782259,2025-07
TX-1016,2025-07-02,Operacoes,Direto,Sul,Horizonte Tech,Ana,19427.56,805.38,12944.95,18622.18,5677.23,0.3048638773763329,2025-07
TX-1043,2025-07-02,Comercial,Digital,Sul,Crescer Educacao,Ana,31693.52,870.21,16048.65,30823.31,14774.660000000002,0.4793339845720658,2025-07
TX-1044,2025-07-03,Tecnologia,Direto,Sul,Horizonte Tech,Elisa,20242.4,346.49,11742.99,19895.91,8152.92,0.4097786932088052,2025-07
TX-1045,2025-07-03,Operacoes,Parceiros,Centro-Oeste,Foco Energia,Diego,18351.8,1441.9,11867.17,16909.899999999998,5042.729999999998,0.29821169847249235,2025-07
TX-1015,2025-07-03,Comercial,Parceiros,Sul,Gama Servicos,Felipe,17210.46,1266.7,9289.42,15943.759999999998,6654.339999999998,0.41736328193600497,2025-07
TX-1018,2025-07-03,Operacoes,Parceiros,Nordeste,Alfa Industria,Elisa,17509.17,943.95,10766.66,16565.219999999998,5798.559999999998,0.3500442493368635,2025-07
TX-1006,2025-07-03,Operacoes,Direto,Centro-Oeste,Gama Servicos,Carla,19449.37,1328.15,13034.23,18121.219999999998,5086.989999999998,0.2807200618942874,2025-07
TX-1041,2025-07-04,Comercial,Digital,Sudeste,Delta Varejo,Diego,20094.94,278.87,10981.98,19816.07,8834.09,0.44580433960921617,2025-07
TX-1009,2025-07-04,Comercial,Direto,Centro-Oeste,Evo Saude,Diego,17709.84,761.11,10204.35,16948.73,6744.379999999999,0.397928340353525,2025-07
TX-1050,2025-07-05,Operacoes,Digital,Sudeste,Beta Logistica,Diego,15498.03,841.61,10368.47,14656.42,4287.950000000001,0.29256462355745816,2025-07
TX-1048,2025-07-05,Tecnologia,Digital,Sudeste,Crescer Educacao,Elisa,22532.55,741.88,13543.62,21790.67,8247.049999999997,0.37846702281297445,2025-07
TX-1025,2025-07-06,Comercial,Parceiros,Centro-Oeste,Horizonte Tech,Bruno,18244.14,656.14,10210.44,17588.0,7377.5599999999995,0.41946554468956104,2025-07
TX-1000,2025-07-06,Operacoes,Direto,Nordeste,Horizonte Tech,Elisa,12673.06,888.41,7854.3,11784.65,3930.3499999999995,0.3335143597815802,2025-07
TX-1039,2025-07-06,Operacoes,Parceiros,Nordeste,Crescer Educacao,Ana,23605.27,410.01,16684.1,23195.260000000002,6511.1600000000035,0.280710800396288,2025-07
TX-1038,2025-07-07,Tecnologia,Parceiros,Nordeste,Beta Logistica,Bruno,15917.93,885.6,9980.61,15032.33,5051.719999999999,0.33605701843958985,2025-07
TX-1030,2025-07-08,Comercial,Direto,Centro-Oeste,Gama Servicos,Bruno,26553.49,1891.12,12944.43,24662.370000000003,11717.940000000002,0.4751343848948824,2025-07
TX-1024,2025-07-09,Comercial,Direto,Nordeste,Horizonte Tech,Felipe,22066.61,1343.63,11537.38,20722.98,9185.6,0.4432567130789105,2025-07
TX-1010,2025-07-09,Tecnologia,Parceiros,Centro-Oeste,Beta Logistica,Bruno,21952.66,686.6,13370.36,21266.06,7895.700000000001,0.37128175129760754,2025-07
TX-1005,2025-07-09,Tecnologia,Digital,Sul,Crescer Educacao,Bruno,21590.72,502.26,13134.92,21088.460000000003,7953.540000000003,0.37715129506848777,2025-07
TX-1047,2025-07-10,Operacoes,Direto,Sul,Evo Saude,Bruno,17749.78,351.16,12769.16,17398.62,4629.459999999999,0.26608202259719443,2025-07
TX-1028,2025-07-11,Tecnologia,Parceiros,Centro-Oeste,Alfa Industria,Elisa,24212.81,1550.61,14283.38,22662.2,8378.820000000002,0.36972668143428267,2025-07
TX-1052,2025-07-11,Marketing,Parceiros,Sul,Gama Servicos,Felipe,13395.58,1033.09,9184.8,12362.49,3177.6900000000005,0.2570428772844306,2025-07
TX-1032,2025-07-11,Comercial,Direto,Centro-Oeste,Gama Servicos,Ana,20814.87,1219.72,11570.35,19595.149999999998,8024.799999999997,0.40952990918671195,2025-07
TX-1011,2025-07-11,Marketing,Digital,Sul,Delta Varejo,Diego,9343.51,131.57,6610.22,9211.94,2601.7200000000003,0.2824291083094332,2025-07
TX-1012,2025-07-11,Tecnologia,Digital,Sul,Beta Logistica,Carla,19852.45,1121.7,11757.92,18730.75,6972.83,0.37226646023250537,2025-07
TX-1019,2025-07-11,Comercial,Digital,Sudeste,Beta Logistica,Diego,26164.91,865.8,13941.79,25299.11,11357.32,0.4489217209617255,2025-07
TX-1017,2025-07-12,Comercial,Parceiros,Centro-Oeste,Alfa Industria,Elisa,22650.81,1144.89,12362.76,21505.920000000002,9143.160000000002,0.4251461923042586,2025-07
TX-1022,2025-07-14,Tecnologia,Parceiros,Centro-Oeste,Delta Varejo,Bruno,11148.22,319.82,6933.68,10828.4,3894.7199999999993,0.35967640648664617,2025-07
TX-1035,2025-07-14,Operacoes,Direto,Centro-Oeste,Beta Logistica,Diego,12504.33,247.88,8387.02,12256.45,3869.4300000000003,0.3157056080675889,2025-07
TX-1008,2025-07-14,Operacoes,Parceiros,Nordeste,Evo Saude,Ana,19023.9,1129.29,12490.29,17894.61,5404.32,0.30200825835265477,2025-07
TX-1040,2025-07-15,Operacoes,Direto,Sudeste,Crescer Educacao,Diego,12874.94,258.41,8460.22,12616.53,4156.310000000001,0.32943368739265083,2025-07
TX-1020,2025-07-16,Comercial,Parceiros,Sul,Alfa Industria,Ana,17479.01,885.74,9863.32,16593.269999999997,6729.949999999997,0.40558310688610494,2025-07
TX-1003,2025-07-16,Operacoes,Digital,Centro-Oeste,Gama Servicos,Bruno,14037.47,1094.2,8980.86,12943.269999999999,3962.409999999998,0.30613670270341253,2025-07
TX-1051,2025-07-18,Marketing,Parceiros,Nordeste,Evo Saude,Ana,13917.51,737.72,9373.84,13179.79,3805.9500000000007,0.2887716723862824,2025-07
TX-1033,2025-07-18,Operacoes,Direto,Sul,Horizonte Tech,Bruno,16741.4,312.44,11135.34,16428.960000000003,5293.620000000003,0.3222127267946359,2025-07
TX-1014,2025-07-18,Operacoes,Parceiros,Nordeste,Crescer Educacao,Felipe,19153.46,702.39,12926.5,18451.07,5524.57,0.2994173237649632,2025-07
