id_transacao,data,area,canal,regiao,cliente,responsavel,receita_bruta,desconto,custo
TX-1023,2025-07-01,Operacoes,Direto,Sudeste,Foco Energia,Elisa,17221.78,341.29,12084.6
TX-1013,2025-07-01,Comercial,Digital,Nordeste,Horizonte Tech,Ana,16455.81,696.6,9010.09
TX-1027,2025-07-02,Tecnologia,Digital,Centro-Oeste,Beta Logistica,Felipe,14393.84,1042.36,7750.84
TX-1016,2025-07-02,Operacoes,Direto,Sul,Horizonte Tech,Ana,19427.56,805.38,12944.95
TX-1043,2025-07-02,Comercial,Digital,Sul,Crescer Educacao,Ana,31693.52,870.21,16048.65
TX-1018,2025-07-03,Operacoes,Parceiros,Nordeste,Alfa Industria,Elisa,17509.17,943.95,10766.66
TX-1006,2025-07-03,Operacoes,Direto,Centro-Oeste,Gama Servicos,Carla,19449.37,1328.15,13034.23
TX-1045,2025-07-03,Operacoes,Parceiros,Centro-Oeste,Foco Energia,Diego,18351.8,1441.9,11867.17
TX-1044,2025-07-03,Tecnologia,Direto,Sul,Horizonte Tech,Elisa,20242.4,346.49,11742.99
TX-1015,2025-07-03,Comercial,Parceiros,Sul,Gama Servicos,Felipe,17210.46,1266.7,9289.42
TX-1041,2025-07-04,Comercial,Digital,Sudeste,Delta Varejo,Diego,20094.94,278.87,10981.98
TX-1009,2025-07-04,Comercial,Direto,Centro-Oeste,Evo Saude,Diego,17709.84,761.11,10204.35
TX-1050,2025-07-05,Operacoes,Digital,Sudeste,Beta Logistica,Diego,15498.03,841.61,10368.47
TX-1048,2025-07-05,Tecnologia,Digital,Sudeste,Crescer Educacao,Elisa,22532.55,741.88,13543.62
TX-1025,2025-07-06,Comercial,Parceiros,Centro-Oeste,Horizonte Tech,Bruno,18244.14,656.14,10210.44
TX-1000,2025-07-06,Operacoes,Direto,Nordeste,Horizonte Tech,Elisa,12673.06,888.41,7854.3
TX-1039,2025-07-06,Operacoes,Parceiros,Nordeste,Crescer Educacao,Ana,23605.27,410.01,16684.1
TX-1038,2025-07-07,Tecnologia,Parceiros,Nordeste,Beta Logistica,Bruno,15917.93,885.6,9980.61
TX-1030,2025-07-08,Comercial,Direto,Centro-Oeste,Gama Servicos,Bruno,26553.49,1891.12,12944.43
TX-1010,2025-07-09,Tecnologia,Parceiros,Centro-Oeste,Beta Logistica,Bruno,21952.66,686.6,13370.36
TX-1005,2025-07-09,Tecnologia,Digital,Sul,Crescer Educacao,Bruno,21590.72,502.26,13134.92
TX-1024,2025-07-09,Comercial,Direto,Nordeste,Horizonte Tech,Felipe,22066.61,1343.63,11537.38
TX-1047,2025-07-10,Operacoes,Direto,Sul,Evo Saude,Bruno,17749.78,351.16,12769.16
TX-1028,2025-07-11,Tecnologia,Parceiros,Centro-Oeste,Alfa Industria,Elisa,24212.81,1550.61,14283.38
TX-1052,2025-07-11,Marketing,Parceiros,Sul,Gama Servicos,Felipe,13395.58,1033.09,9184.8
TX-1032,2025-07-11,Comercial,Direto,Centro-Oeste,Gama Servicos,Ana,20814.87,1219.72,11570.35
TX-1011,2025-07-11,Marketing,Digital,Sul,Delta Varejo,Diego,9343.51,131.57,6610.22
TX-1012,2025-07-11,Tecnologia,Digital,Sul,Beta Logistica,Carla,19852.45,1121.7,11757.92
TX-1019,2025-07-11,Comercial,Digital,Sudeste,Beta Logistica,Diego,26164.91,865.8,13941.79
TX-1017,2025-07-12,Comercial,Parceiros,Centro-Oeste,Alfa Industria,Elisa,22650.81,1144.89,12362.76
TX-1022,2025-07-14,Tecnologia,Parceiros,Centro-Oeste,Delta Varejo,Bruno,11148.22,319.82,6933.68
TX-1035,2025-07-14,Operacoes,Direto,Centro-Oeste,Beta Logistica,Diego,12504.33,247.88,8387.02
TX-1008,2025-07-14,Operacoes,Parceiros,Nordeste,Evo Saude,Ana,19023.9,1129.29,12490.29
TX-1040,2025-07-15,Operacoes,Direto,Sudeste,Crescer Educacao,Diego,12874.94,258.41,8460.22
TX-1020,2025-07-16,Comercial,Parceiros,Sul,Alfa Industria,Ana,17479.01,885.74,9863.32
TX-1003,2025-07-16,Operacoes,Digital,Centro-Oeste,Gama Servicos,Bruno,14037.47,1094.2,8980.86
TX-1014,2025-07-18,Operacoes,Parceiros,Nordeste,Crescer Educacao,Felipe,19153.46,702.39,12926.5
TX-1051,2025-07-18,Marketing,Parceiros,Nordeste,Evo Saude,Ana,13917.51,737.72,9373.84
TX-1033,2025-07-18,Operacoes,Direto,Sul,Horizonte Tech,Bruno,16741.4,312.44,11135.34
TX-1029,2025-07-19,Comercial,Direto,Centro-Oeste,Horizonte Tech,Ana,16347.02,439.21,8251.81
TX-1042,2025-07-19,Operacoes,Digital,Centro-Oeste,Gama Servicos,Diego,17215.63,555.37,11473.44
TX-1001,2025-07-20,Operacoes,Direto,Centro-Oeste,Gama Servicos,Diego,16561.16,687.74,10603.68
